NUM_LANE, NUM_LANE_SELF, AVG_CAR_PER_SEC, SELF_RATIO, SELF_INIT_V, HUMN_INIT_V, queueSelf.size, queueHumn.size
4, 1, 3, 0.04, 28, 24, 0, 5034
4, 1, 3.2, 0.04, 28, 24, 0, 5694
4, 1, 3.4, 0.04, 28, 24, 0, 6435
4, 1, 3.6, 0.04, 28, 24, 0, 7131
4, 1, 3.8, 0.04, 28, 24, 0, 7782
4, 1, 4, 0.04, 28, 24, 0, 8463
4, 1, 4.2, 0.04, 28, 24, 0, 9202
4, 1, 4.4, 0.04, 28, 24, 0, 9828
4, 1, 4.6, 0.04, 28, 24, 0, 10532
4, 1, 4.8, 0.04, 28, 24, 0, 11202
4, 1, 2, 0.06, 28, 24, 0, 1451
4, 1, 2.2, 0.06, 28, 24, 0, 2083
4, 1, 2.4, 0.06, 28, 24, 0, 2759
4, 1, 2.6, 0.06, 28, 24, 0, 3462
4, 1, 2.8, 0.06, 28, 24, 0, 4098
4, 1, 3, 0.06, 28, 24, 0, 4784
4, 1, 3.2, 0.06, 28, 24, 0, 5479
4, 1, 3.4, 0.06, 28, 24, 3, 6133
4, 1, 3.6, 0.06, 28, 24, 0, 6799
4, 1, 3.8, 0.06, 28, 24, 0, 7518
4, 1, 4, 0.06, 28, 24, 0, 8231
4, 1, 4.2, 0.06, 28, 24, 0, 8845
4, 1, 4.4, 0.06, 28, 24, 0, 9564
4, 1, 4.6, 0.06, 28, 24, 0, 10175
4, 1, 4.8, 0.06, 28, 24, 0, 10919
4, 1, 2, 0.08, 28, 24, 0, 1280
4, 1, 2.2, 0.08, 28, 24, 0, 1991
4, 1, 2.4, 0.08, 28, 24, 0, 2566
4, 1, 2.6, 0.08, 28, 24, 0, 3262
4, 1, 2.8, 0.08, 28, 24, 0, 3943
4, 1, 3, 0.08, 28, 24, 2, 4610
4, 1, 3.2, 0.08, 28, 24, 2, 5267
4, 1, 3.4, 0.08, 28, 24, 0, 5914
4, 1, 3.6, 0.08, 28, 24, 0, 6548
4, 1, 3.8, 0.08, 28, 24, 0, 7245
4, 1, 4, 0.08, 28, 24, 0, 7890
4, 1, 4.2, 0.08, 28, 24, 0, 8527
4, 1, 4.4, 0.08, 28, 24, 0, 9196
4, 1, 4.6, 0.08, 28, 24, 0, 9919
4, 1, 4.8, 0.08, 28, 24, 0, 10491
4, 1, 2, 0.1, 28, 24, 0, 1142
4, 1, 2.2, 0.1, 28, 24, 0, 1752
4, 1, 2.4, 0.1, 28, 24, 0, 2399
4, 1, 2.6, 0.1, 28, 24, 0, 3059
4, 1, 2.8, 0.1, 28, 24, 0, 3751
4, 1, 3, 0.1, 28, 24, 0, 4410
4, 1, 3.2, 0.1, 28, 24, 0, 5058
4, 1, 3.4, 0.1, 28, 24, 0, 5676
4, 1, 3.6, 0.1, 28, 24, 0, 6375
4, 1, 3.8, 0.1, 28, 24, 0, 6952
4, 1, 4, 0.1, 28, 24, 0, 7652
4, 1, 4.2, 0.1, 28, 24, 0, 8289
4, 1, 4.4, 0.1, 28, 24, 7, 8838
4, 1, 4.6, 0.1, 28, 24, 4, 9573
4, 1, 4.8, 0.1, 28, 24, 1, 10197
4, 1, 2, 0.12, 28, 24, 0, 989
4, 1, 2.2, 0.12, 28, 24, 1, 1597
4, 1, 2.4, 0.12, 28, 24, 0, 2237
4, 1, 2.6, 0.12, 28, 24, 0, 2880
4, 1, 2.8, 0.12, 28, 24, 0, 3502
4, 1, 3, 0.12, 28, 24, 0, 4155
4, 1, 3.2, 0.12, 28, 24, 1, 4753
4, 1, 3.4, 0.12, 28, 24, 0, 5432
4, 1, 3.6, 0.12, 28, 24, 2, 6105
4, 1, 3.8, 0.12, 28, 24, 6, 6736
4, 1, 4, 0.12, 28, 24, 2, 7309
4, 1, 4.2, 0.12, 28, 24, 14, 7976
4, 1, 4.4, 0.12, 28, 24, 20, 8625
4, 1, 4.6, 0.12, 28, 24, 53, 9265
4, 1, 4.8, 0.12, 28, 24, 149, 9887
4, 1, 2, 0.14, 28, 24, 2, 868
4, 1, 2.2, 0.14, 28, 24, 0, 1488
4, 1, 2.4, 0.14, 28, 24, 0, 2155
4, 1, 2.6, 0.14, 28, 24, 0, 2723
4, 1, 2.8, 0.14, 28, 24, 4, 3321
4, 1, 3, 0.14, 28, 24, 1, 3947
4, 1, 3.2, 0.14, 28, 24, 2, 4494
4, 1, 3.4, 0.14, 28, 24, 4, 5222
4, 1, 3.6, 0.14, 28, 24, 1, 5792
4, 1, 3.8, 0.14, 28, 24, 50, 6456
4, 1, 4, 0.14, 28, 24, 84, 7106
4, 1, 4.2, 0.14, 28, 24, 218, 7654
4, 1, 4.4, 0.14, 28, 24, 305, 8278
4, 1, 4.6, 0.14, 28, 24, 509, 8801
4, 1, 4.8, 0.14, 28, 24, 517, 9505
4, 1, 2, 0.16, 28, 24, 0, 698
4, 1, 2.2, 0.16, 28, 24, 0, 1297
4, 1, 2.4, 0.16, 28, 24, 1, 1849
4, 1, 2.6, 0.16, 28, 24, 2, 2497
4, 1, 2.8, 0.16, 28, 24, 6, 3096
4, 1, 3, 0.16, 28, 24, 1, 3714
4, 1, 3.2, 0.16, 28, 24, 22, 4309
4, 1, 3.4, 0.16, 28, 24, 38, 4952
4, 1, 3.6, 0.16, 28, 24, 139, 5563
4, 1, 3.8, 0.16, 28, 24, 327, 6092
4, 1, 4, 0.16, 28, 24, 336, 6813
4, 1, 4.2, 0.16, 28, 24, 544, 7326
4, 1, 4.4, 0.16, 28, 24, 736, 7852
4, 1, 4.6, 0.16, 28, 24, 703, 8595
4, 1, 4.8, 0.16, 28, 24, 874, 9150
4, 1, 2, 0.18, 28, 24, 0, 555
4, 1, 2.2, 0.18, 28, 24, 0, 1194
4, 1, 2.4, 0.18, 28, 24, 3, 1718
4, 1, 2.6, 0.18, 28, 24, 2, 2318
4, 1, 2.8, 0.18, 28, 24, 6, 2939
4, 1, 3, 0.18, 28, 24, 18, 3573
4, 1, 3.2, 0.18, 28, 24, 157, 4111
4, 1, 3.4, 0.18, 28, 24, 315, 4680
4, 1, 3.6, 0.18, 28, 24, 543, 5167
4, 1, 3.8, 0.18, 28, 24, 530, 5902
4, 1, 4, 0.18, 28, 24, 665, 6484
4, 1, 4.2, 0.18, 28, 24, 937, 6932
4, 1, 4.4, 0.18, 28, 24, 926, 7667
4, 1, 4.6, 0.18, 28, 24, 1112, 8190
4, 1, 4.8, 0.18, 28, 24, 1216, 8813
4, 1, 2, 0.2, 28, 24, 7, 455
4, 1, 2.2, 0.2, 28, 24, 1, 1000
4, 1, 2.4, 0.2, 28, 24, 1, 1572
4, 1, 2.6, 0.2, 28, 24, 39, 2097
4, 1, 2.8, 0.2, 28, 24, 132, 2702
4, 1, 3, 0.2, 28, 24, 203, 3348
4, 1, 3.2, 0.2, 28, 24, 421, 3842
4, 1, 3.4, 0.2, 28, 24, 571, 4413
4, 1, 3.6, 0.2, 28, 24, 650, 5057
4, 1, 3.8, 0.2, 28, 24, 900, 5538
4, 1, 4, 0.2, 28, 24, 930, 6217
4, 1, 4.2, 0.2, 28, 24, 1112, 6756
4, 1, 4.4, 0.2, 28, 24, 1249, 7332
4, 1, 4.6, 0.2, 28, 24, 1430, 7869
4, 1, 4.8, 0.2, 28, 24, 1501, 8533
4, 1, 2, 0.22, 28, 24, 0, 374
4, 1, 2.2, 0.22, 28, 24, 5, 850
4, 1, 2.4, 0.22, 28, 24, 1, 1491
4, 1, 2.6, 0.22, 28, 24, 192, 1920
4, 1, 2.8, 0.22, 28, 24, 360, 2480
4, 1, 3, 0.22, 28, 24, 417, 3119
4, 1, 3.2, 0.22, 28, 24, 637, 3632
4, 1, 3.4, 0.22, 28, 24, 789, 4202
4, 1, 3.6, 0.22, 28, 24, 957, 4749
4, 1, 3.8, 0.22, 28, 24, 1098, 5325
4, 1, 4, 0.22, 28, 24, 1230, 5918
4, 1, 4.2, 0.22, 28, 24, 1402, 6463
4, 1, 4.4, 0.22, 28, 24, 1678, 6905
4, 1, 4.6, 0.22, 28, 24, 1741, 7565
4, 1, 4.8, 0.22, 28, 24, 1905, 8115
4, 1, 2, 0.24, 28, 24, 0, 173
4, 1, 2.2, 0.24, 28, 24, 56, 641
4, 1, 2.4, 0.24, 28, 24, 167, 1230
4, 1, 2.6, 0.24, 28, 24, 326, 1787
4, 1, 2.8, 0.24, 28, 24, 500, 2317
4, 1, 3, 0.24, 28, 24, 672, 2882
4, 1, 3.2, 0.24, 28, 24, 874, 3395
4, 1, 3.4, 0.24, 28, 24, 1002, 3986
4, 1, 3.6, 0.24, 28, 24, 1153, 4559
4, 1, 3.8, 0.24, 28, 24, 1406, 5022
4, 1, 4, 0.24, 28, 24, 1522, 5626
4, 1, 4.2, 0.24, 28, 24, 1724, 6147
4, 1, 4.4, 0.24, 28, 24, 1838, 6752
4, 1, 4.6, 0.24, 28, 24, 2025, 7284
4, 1, 4.8, 0.24, 28, 24, 2334, 7692
4, 1, 2, 0.26, 28, 24, 8, 31
4, 1, 2.2, 0.26, 28, 24, 148, 521
4, 1, 2.4, 0.26, 28, 24, 320, 1062
